campaign_touch_id,activity_month,vehicle_segment,model_year_position,powertrain_focus,primary_channel,secondary_channel_syndicated_flag,shopper_intent_decile,market_region_tier,nameplate_lifecycle_stage,incentive_program_pressure_band,competitive_conquest_intensity_band,days_supply_inventory_proxy_band,auto_loan_rate_environment_band,personalization_depth_band,dealer_cosponsored_local_campaign_flag,days_since_last_brand_engagement,major_auto_show_or_event_window_flag,ev_adoption_maturity_region_band,ad_frequency_saturation_risk_band,certified_preowned_vs_new_intent_context,credit_availability_consumer_stress_band,multicultural_locale_creative_match_flag,qualified_marketing_milestone_achieved
AMK-00024376,2022-05,Midsize / 3-Row SUV,Current Model Year,ICE,Paid Social,Yes,7,US – Major Metro,New Launch / Fresh Reveal,Moderate APR / Cash,High – New Entrants,High – Over 60,Favourable vs Prior Quarter,Segmented,No,40,No,Mature EV Penetration,Typical,New Vehicle Focus,Benign,No,0
AMK-00024377,2023-06,EV Crossover,Current Model Year,ICE,Paid Search,No,3,US – Suburban / Secondary,New Launch / Fresh Reveal,Moderate APR / Cash,Low,Balanced,Adverse – Rising APR,Generic,No,40,No,Growing,Low Exposure,New Vehicle Focus,Benign,Yes,1
AMK-00024378,2022-09,EV Crossover,Current Model Year,ICE,Paid Search,No,6,US – Rural / Exurban,Steady State,Moderate APR / Cash,High – New Entrants,Balanced,Favourable vs Prior Quarter,1:1 Next-Best-Offer,No,42,No,Growing,High Fatigue Risk,New Vehicle Focus,Benign,No,0
AMK-00024379,2024-12,Full-Size Pickup,Current Model Year,BEV,OEM Website / App,No,3,US – Rural / Exurban,Runout / End of Generation,Moderate APR / Cash,Moderate,High – Over 60,Favourable vs Prior Quarter,Generic,Yes,53,Yes,Mature EV Penetration,Low Exposure,New Vehicle Focus,Constrained,No,1
AMK-00024380,2024-02,Full-Size Pickup,Current Model Year,BEV,Dealer Co-op – Local Digital,No,6,US – Suburban / Secondary,Mid-Cycle Refresh,Moderate APR / Cash,High – New Entrants,Balanced,Favourable vs Prior Quarter,Segmented,No,29,No,Early Market,Typical,Mixed / Undecided,Constrained,No,0
AMK-00024381,2023-10,Compact SUV / Crossover,Current Model Year,ICE,Paid Social,No,7,US – Suburban / Secondary,Steady State,Heavy Stair-Step Risk,Low,Tight – Under 30,Adverse – Rising APR,Segmented,Yes,28,No,Early Market,Typical,New Vehicle Focus,Benign,No,0
AMK-00024382,2025-06,Midsize Sedan,Prior Year Closeout,Hybrid,Programmatic Video / CTV,No,10,US – Suburban / Secondary,New Launch / Fresh Reveal,Light Incentives,Moderate,Tight – Under 30,Favourable vs Prior Quarter,Segmented,Yes,47,No,Mature EV Penetration,Typical,New Vehicle Focus,Benign,Yes,1
AMK-00024383,2022-01,Midsize / 3-Row SUV,Prior Year Closeout,BEV,Programmatic Video / CTV,Yes,10,US – Suburban / Secondary,Steady State,Moderate APR / Cash,Low,Tight – Under 30,Adverse – Rising APR,Generic,No,33,No,Growing,Typical,Mixed / Undecided,Benign,Yes,1
AMK-00024384,2025-06,Compact SUV / Crossover,Current Model Year,ICE,Programmatic Video / CTV,No,9,Canada,Steady State,Heavy Stair-Step Risk,High – New Entrants,Balanced,Flat,Generic,No,34,No,Mature EV Penetration,Typical,CPO / Used Consideration,Tightening,Yes,0
AMK-00024385,2023-10,Compact SUV / Crossover,Current Model Year,ICE,OEM Website / App,No,2,US – Suburban / Secondary,Mid-Cycle Refresh,Moderate APR / Cash,Moderate,High – Over 60,Favourable vs Prior Quarter,Generic,Yes,19,No,Growing,Typical,New Vehicle Focus,Tightening,No,1
AMK-00024386,2023-11,Compact SUV / Crossover,Current Model Year,BEV,Auto Show / Experiential,No,4,US – Major Metro,Runout / End of Generation,Moderate APR / Cash,Low,Tight – Under 30,Adverse – Rising APR,Segmented,No,43,No,Growing,Typical,Mixed / Undecided,Benign,No,0
AMK-00024387,2023-06,Midsize / 3-Row SUV,Next MY Pre-Order,ICE,Paid Search,No,8,US – Major Metro,Steady State,Heavy Stair-Step Risk,High – New Entrants,Tight – Under 30,Flat,Segmented,No,39,No,Early Market,Typical,New Vehicle Focus,Constrained,No,0
AMK-00024388,2024-06,Midsize Sedan,Current Model Year,Hybrid,OEM Website / App,No,4,US – Rural / Exurban,Steady State,Light Incentives,High – New Entrants,Balanced,Flat,Generic,No,43,Yes,Mature EV Penetration,Typical,New Vehicle Focus,Constrained,Yes,1
AMK-00024389,2023-05,Compact SUV / Crossover,Prior Year Closeout,ICE,Email – CRM,No,8,US – Major Metro,Steady State,Moderate APR / Cash,Moderate,Tight – Under 30,Adverse – Rising APR,Segmented,No,43,No,Mature EV Penetration,High Fatigue Risk,New Vehicle Focus,Tightening,Yes,0
AMK-00024390,2025-06,Compact SUV / Crossover,Current Model Year,ICE,Paid Social,No,10,Canada,Mid-Cycle Refresh,Light Incentives,Low,Balanced,Adverse – Rising APR,1:1 Next-Best-Offer,Yes,39,Yes,Early Market,High Fatigue Risk,New Vehicle Focus,Tightening,No,0
AMK-00024391,2022-11,Midsize Sedan,Current Model Year,BEV,Paid Social,No,1,US – Major Metro,Steady State,Light Incentives,Low,Balanced,Flat,Segmented,Yes,39,No,Growing,High Fatigue Risk,CPO / Used Consideration,Benign,No,0
AMK-00024392,2023-11,Compact SUV / Crossover,Next MY Pre-Order,Hybrid,Programmatic Video / CTV,Yes,4,US – Suburban / Secondary,Steady State,Light Incentives,Moderate,Tight – Under 30,Flat,Generic,No,44,No,Mature EV Penetration,High Fatigue Risk,New Vehicle Focus,Tightening,No,0
AMK-00024393,2025-12,EV Crossover,Prior Year Closeout,ICE,Dealer Co-op – Local Digital,No,8,US – Suburban / Secondary,Steady State,Light Incentives,Low,Balanced,Adverse – Rising APR,1:1 Next-Best-Offer,No,46,No,Early Market,Typical,Mixed / Undecided,Tightening,Yes,1
AMK-00024394,2022-01,Midsize Sedan,Prior Year Closeout,BEV,Programmatic Video / CTV,No,2,Other Market,Steady State,Moderate APR / Cash,Moderate,Tight – Under 30,Flat,Segmented,No,34,No,Early Market,Low Exposure,New Vehicle Focus,Benign,Yes,0
AMK-00024395,2025-05,Compact SUV / Crossover,Current Model Year,ICE,Programmatic Video / CTV,Yes,9,Canada,Steady State,Moderate APR / Cash,Low,High – Over 60,Flat,Segmented,No,31,Yes,Mature EV Penetration,Low Exposure,New Vehicle Focus,Benign,No,0
AMK-00024396,2024-12,Performance / Specialty,Current Model Year,ICE,Programmatic Video / CTV,Yes,3,Canada,New Launch / Fresh Reveal,Heavy Stair-Step Risk,Moderate,Balanced,Favourable vs Prior Quarter,Segmented,No,49,No,Mature EV Penetration,Low Exposure,Mixed / Undecided,Tightening,No,1
AMK-00024397,2025-05,EV Crossover,Current Model Year,BEV,Dealer Co-op – Local Digital,No,10,US – Suburban / Secondary,New Launch / Fresh Reveal,Moderate APR / Cash,Moderate,Tight – Under 30,Favourable vs Prior Quarter,Segmented,Yes,44,No,Growing,Typical,CPO / Used Consideration,Benign,Yes,1
AMK-00024398,2023-11,Compact SUV / Crossover,Current Model Year,ICE,Paid Social,No,9,Other Market,Steady State,Moderate APR / Cash,High – New Entrants,Tight – Under 30,Adverse – Rising APR,Segmented,Yes,44,No,Mature EV Penetration,Typical,New Vehicle Focus,Benign,No,0
AMK-00024399,2025-12,Full-Size Pickup,Current Model Year,Hybrid,Programmatic Video / CTV,No,9,US – Suburban / Secondary,New Launch / Fresh Reveal,Light Incentives,Moderate,High – Over 60,Favourable vs Prior Quarter,1:1 Next-Best-Offer,No,43,No,Growing,Typical,New Vehicle Focus,Constrained,No,0
AMK-00024400,2024-03,EV Crossover,Next MY Pre-Order,BEV,Paid Search,No,10,US – Rural / Exurban,New Launch / Fresh Reveal,Heavy Stair-Step Risk,Low,High – Over 60,Flat,Generic,Yes,31,No,Growing,Low Exposure,New Vehicle Focus,Tightening,No,1
AMK-00024401,2023-04,EV Crossover,Current Model Year,BEV,Paid Social,No,1,Canada,New Launch / Fresh Reveal,Light Incentives,Low,High – Over 60,Flat,Segmented,Yes,39,No,Growing,Typical,New Vehicle Focus,Benign,Yes,0
AMK-00024402,2023-04,Full-Size Pickup,Current Model Year,ICE,Dealer Co-op – Local Digital,Yes,10,US – Suburban / Secondary,Steady State,Heavy Stair-Step Risk,Moderate,Balanced,Adverse – Rising APR,Segmented,No,39,No,Early Market,Typical,New Vehicle Focus,Tightening,Yes,0
AMK-00024403,2022-10,EV Crossover,Current Model Year,BEV,OEM Website / App,No,2,US – Major Metro,Steady State,Moderate APR / Cash,Low,Tight – Under 30,Flat,Segmented,No,32,Yes,Mature EV Penetration,High Fatigue Risk,New Vehicle Focus,Tightening,No,0
AMK-00024404,2024-03,Compact SUV / Crossover,Next MY Pre-Order,PHEV,Programmatic Video / CTV,Yes,1,US – Suburban / Secondary,Steady State,Light Incentives,Low,Balanced,Favourable vs Prior Quarter,Segmented,No,38,No,Early Market,Typical,CPO / Used Consideration,Tightening,Yes,1
AMK-00024405,2024-03,EV Crossover,Next MY Pre-Order,ICE,OEM Website / App,No,2,Canada,Mid-Cycle Refresh,Light Incentives,Moderate,Tight – Under 30,Adverse – Rising APR,Segmented,No,39,No,Mature EV Penetration,Typical,CPO / Used Consideration,Tightening,No,0
AMK-00024406,2024-02,Full-Size Pickup,Current Model Year,BEV,OEM Website / App,No,7,US – Suburban / Secondary,Mid-Cycle Refresh,Moderate APR / Cash,High – New Entrants,Balanced,Adverse – Rising APR,Generic,No,34,No,Early Market,Typical,CPO / Used Consideration,Tightening,No,0
AMK-00024407,2023-01,Full-Size Pickup,Current Model Year,ICE,Paid Social,Yes,7,US – Major Metro,Steady State,Light Incentives,Moderate,Balanced,Flat,Generic,Yes,36,No,Mature EV Penetration,High Fatigue Risk,New Vehicle Focus,Benign,No,0
AMK-00024408,2023-10,Compact SUV / Crossover,Prior Year Closeout,BEV,Email – CRM,Yes,10,US – Major Metro,Mid-Cycle Refresh,Light Incentives,Low,Balanced,Favourable vs Prior Quarter,Generic,No,37,No,Mature EV Penetration,Typical,New Vehicle Focus,Tightening,Yes,0
AMK-00024409,2025-06,Full-Size Pickup,Current Model Year,BEV,Paid Social,Yes,8,Canada,Mid-Cycle Refresh,Light Incentives,Low,High – Over 60,Adverse – Rising APR,Generic,Yes,36,No,Growing,Low Exposure,New Vehicle Focus,Benign,Yes,0
AMK-00024410,2025-01,Midsize / 3-Row SUV,Current Model Year,ICE,Paid Search,Yes,8,US – Suburban / Secondary,Steady State,Light Incentives,Low,Tight – Under 30,Adverse – Rising APR,Segmented,No,45,Yes,Growing,Low Exposure,New Vehicle Focus,Tightening,Yes,0
AMK-00024411,2022-08,Full-Size Pickup,Current Model Year,ICE,Paid Social,Yes,10,Other Market,Steady State,Light Incentives,High – New Entrants,Tight – Under 30,Adverse – Rising APR,Segmented,No,39,No,Early Market,Low Exposure,Mixed / Undecided,Tightening,No,0
AMK-00024412,2024-04,Compact SUV / Crossover,Current Model Year,BEV,Email – CRM,Yes,4,US – Rural / Exurban,Steady State,Moderate APR / Cash,High – New Entrants,Balanced,Flat,1:1 Next-Best-Offer,No,43,No,Growing,Typical,New Vehicle Focus,Benign,No,1
AMK-00024413,2023-11,EV Crossover,Current Model Year,Hybrid,Email – CRM,Yes,7,Canada,Steady State,Moderate APR / Cash,Moderate,Tight – Under 30,Flat,1:1 Next-Best-Offer,No,41,No,Growing,Low Exposure,New Vehicle Focus,Benign,Yes,1
AMK-00024414,2023-05,Midsize Sedan,Prior Year Closeout,BEV,Paid Social,Yes,6,US – Suburban / Secondary,Mid-Cycle Refresh,Moderate APR / Cash,Low,Balanced,Adverse – Rising APR,Segmented,Yes,25,No,Early Market,Low Exposure,CPO / Used Consideration,Tightening,No,0
AMK-00024415,2024-02,Midsize Sedan,Current Model Year,BEV,Programmatic Video / CTV,No,2,US – Rural / Exurban,Steady State,Light Incentives,Moderate,High – Over 60,Adverse – Rising APR,Segmented,Yes,27,No,Mature EV Penetration,Low Exposure,New Vehicle Focus,Benign,Yes,0
AMK-00024416,2024-08,Midsize / 3-Row SUV,Current Model Year,BEV,Paid Search,No,7,US – Major Metro,Mid-Cycle Refresh,Heavy Stair-Step Risk,Low,Tight – Under 30,Flat,Generic,No,42,No,Growing,Typical,CPO / Used Consideration,Tightening,No,0
AMK-00024417,2022-05,Midsize Sedan,Current Model Year,Hybrid,Paid Social,Yes,9,Other Market,Steady State,Moderate APR / Cash,High – New Entrants,Balanced,Adverse – Rising APR,Generic,No,28,No,Early Market,Low Exposure,New Vehicle Focus,Tightening,No,0
AMK-00024418,2024-03,Compact SUV / Crossover,Current Model Year,PHEV,Dealer Co-op – Local Digital,Yes,7,Canada,Steady State,Moderate APR / Cash,High – New Entrants,Balanced,Flat,1:1 Next-Best-Offer,Yes,52,No,Early Market,Typical,CPO / Used Consideration,Tightening,Yes,0
AMK-00024419,2025-11,Midsize Sedan,Current Model Year,Hybrid,Paid Social,No,5,US – Suburban / Secondary,Steady State,Light Incentives,Moderate,Tight – Under 30,Adverse – Rising APR,Generic,No,49,No,Early Market,Low Exposure,Mixed / Undecided,Tightening,Yes,0
AMK-00024420,2022-05,Midsize / 3-Row SUV,Current Model Year,ICE,Paid Social,No,1,US – Suburban / Secondary,Steady State,Light Incentives,Moderate,Tight – Under 30,Adverse – Rising APR,Generic,No,33,No,Early Market,High Fatigue Risk,Mixed / Undecided,Constrained,No,0
AMK-00024421,2022-03,Midsize / 3-Row SUV,Prior Year Closeout,ICE,Auto Show / Experiential,No,7,US – Suburban / Secondary,Steady State,Moderate APR / Cash,High – New Entrants,Tight – Under 30,Flat,Generic,No,40,No,Growing,Low Exposure,CPO / Used Consideration,Benign,Yes,0
AMK-00024422,2022-03,EV Crossover,Next MY Pre-Order,ICE,Email – CRM,Yes,6,US – Suburban / Secondary,Runout / End of Generation,Moderate APR / Cash,Moderate,Balanced,Favourable vs Prior Quarter,Segmented,No,27,No,Growing,High Fatigue Risk,New Vehicle Focus,Benign,No,0
AMK-00024423,2023-11,Full-Size Pickup,Prior Year Closeout,BEV,Email – CRM,No,2,Canada,Steady State,Light Incentives,Moderate,Balanced,Flat,Segmented,No,33,No,Growing,Typical,CPO / Used Consideration,Benign,No,1
AMK-00024424,2025-04,Midsize / 3-Row SUV,Current Model Year,ICE,Paid Social,No,4,Other Market,Mid-Cycle Refresh,Moderate APR / Cash,Moderate,Balanced,Adverse – Rising APR,Segmented,No,36,No,Growing,Low Exposure,New Vehicle Focus,Benign,No,0
AMK-00024425,2025-02,Full-Size Pickup,Current Model Year,ICE,OEM Website / App,Yes,4,US – Suburban / Secondary,Steady State,Light Incentives,High – New Entrants,Balanced,Flat,Generic,No,43,No,Growing,High Fatigue Risk,CPO / Used Consideration,Constrained,No,0
AMK-00024426,2024-05,Midsize / 3-Row SUV,Current Model Year,Hybrid,Dealer Co-op – Local Digital,No,8,US – Suburban / Secondary,New Launch / Fresh Reveal,Heavy Stair-Step Risk,High – New Entrants,High – Over 60,Adverse – Rising APR,Segmented,Yes,35,Yes,Early Market,High Fatigue Risk,CPO / Used Consideration,Constrained,No,1
AMK-00024427,2024-01,Compact SUV / Crossover,Current Model Year,Hybrid,Email – CRM,No,1,US – Rural / Exurban,Mid-Cycle Refresh,Heavy Stair-Step Risk,Moderate,Balanced,Favourable vs Prior Quarter,Generic,No,47,No,Growing,Low Exposure,CPO / Used Consideration,Tightening,No,0
AMK-00024428,2023-11,Compact SUV / Crossover,Current Model Year,ICE,Email – CRM,Yes,5,US – Suburban / Secondary,New Launch / Fresh Reveal,Moderate APR / Cash,Moderate,Balanced,Favourable vs Prior Quarter,Segmented,No,36,No,Mature EV Penetration,Typical,New Vehicle Focus,Benign,No,0
AMK-00024429,2024-09,Midsize Sedan,Next MY Pre-Order,ICE,Paid Social,Yes,2,US – Rural / Exurban,Steady State,Light Incentives,Moderate,Balanced,Flat,Generic,Yes,57,No,Mature EV Penetration,Low Exposure,Mixed / Undecided,Benign,No,0
AMK-00024430,2024-02,EV Crossover,Current Model Year,ICE,Email – CRM,No,6,US – Major Metro,Steady State,Moderate APR / Cash,Low,High – Over 60,Flat,Segmented,No,35,No,Early Market,High Fatigue Risk,New Vehicle Focus,Benign,No,0
AMK-00024431,2022-09,Midsize Sedan,Current Model Year,Hybrid,Paid Search,No,9,Canada,Steady State,Moderate APR / Cash,Low,Balanced,Adverse – Rising APR,Generic,No,37,No,Early Market,Low Exposure,New Vehicle Focus,Benign,No,0
AMK-00024432,2024-11,Full-Size Pickup,Prior Year Closeout,ICE,OEM Website / App,Yes,10,US – Rural / Exurban,New Launch / Fresh Reveal,Light Incentives,Moderate,Tight – Under 30,Favourable vs Prior Quarter,Generic,No,43,No,Growing,High Fatigue Risk,New Vehicle Focus,Benign,No,0
AMK-00024433,2024-09,Compact SUV / Crossover,Current Model Year,ICE,Paid Search,No,2,US – Suburban / Secondary,Steady State,Moderate APR / Cash,Low,High – Over 60,Adverse – Rising APR,Generic,No,37,No,Mature EV Penetration,Typical,New Vehicle Focus,Benign,No,1
AMK-00024434,2024-07,Midsize / 3-Row SUV,Prior Year Closeout,ICE,Dealer Co-op – Local Digital,No,10,US – Major Metro,Steady State,Heavy Stair-Step Risk,Low,High – Over 60,Flat,Generic,Yes,43,No,Mature EV Penetration,Typical,New Vehicle Focus,Constrained,No,0
AMK-00024435,2025-07,Full-Size Pickup,Current Model Year,Hybrid,Programmatic Video / CTV,No,5,Canada,Steady State,Light Incentives,Moderate,Balanced,Favourable vs Prior Quarter,Segmented,Yes,37,No,Growing,Low Exposure,CPO / Used Consideration,Tightening,No,0
AMK-00024436,2023-12,Full-Size Pickup,Current Model Year,BEV,Paid Search,No,1,US – Major Metro,Steady State,Light Incentives,Low,High – Over 60,Flat,Segmented,No,40,No,Growing,Typical,New Vehicle Focus,Benign,No,0
AMK-00024437,2025-01,Compact SUV / Crossover,Current Model Year,Hybrid,Dealer Co-op – Local Digital,No,7,US – Major Metro,Mid-Cycle Refresh,Moderate APR / Cash,Low,High – Over 60,Flat,Generic,No,40,No,Growing,Low Exposure,New Vehicle Focus,Benign,No,0
AMK-00024438,2022-04,Midsize / 3-Row SUV,Current Model Year,BEV,Programmatic Video / CTV,No,8,US – Rural / Exurban,Runout / End of Generation,Moderate APR / Cash,Low,High – Over 60,Favourable vs Prior Quarter,Segmented,Yes,35,No,Early Market,High Fatigue Risk,CPO / Used Consideration,Tightening,No,1
AMK-00024439,2025-05,Compact SUV / Crossover,Current Model Year,Hybrid,Dealer Co-op – Local Digital,No,5,US – Suburban / Secondary,Steady State,Light Incentives,Moderate,Tight – Under 30,Flat,Segmented,No,22,No,Early Market,Low Exposure,New Vehicle Focus,Benign,Yes,0
AMK-00024440,2024-12,Compact SUV / Crossover,Current Model Year,BEV,Paid Search,No,7,US – Rural / Exurban,Steady State,Heavy Stair-Step Risk,Low,Tight – Under 30,Favourable vs Prior Quarter,Segmented,No,44,No,Early Market,Low Exposure,New Vehicle Focus,Benign,Yes,0
AMK-00024441,2024-05,Compact SUV / Crossover,Current Model Year,Hybrid,Paid Social,No,3,US – Rural / Exurban,Steady State,Light Incentives,Low,Tight – Under 30,Adverse – Rising APR,1:1 Next-Best-Offer,Yes,39,No,Early Market,Typical,New Vehicle Focus,Benign,Yes,1
AMK-00024442,2022-09,Performance / Specialty,Current Model Year,BEV,OEM Website / App,Yes,3,US – Suburban / Secondary,Steady State,Light Incentives,High – New Entrants,Balanced,Adverse – Rising APR,Generic,No,30,No,Early Market,High Fatigue Risk,CPO / Used Consideration,Tightening,Yes,0
AMK-00024443,2024-07,Midsize / 3-Row SUV,Current Model Year,ICE,Email – CRM,No,6,US – Suburban / Secondary,Runout / End of Generation,Heavy Stair-Step Risk,Low,High – Over 60,Adverse – Rising APR,Generic,No,50,No,Mature EV Penetration,High Fatigue Risk,New Vehicle Focus,Tightening,No,0
AMK-00024444,2024-07,Midsize / 3-Row SUV,Current Model Year,ICE,Paid Search,No,7,Canada,Runout / End of Generation,Moderate APR / Cash,Low,Tight – Under 30,Flat,Generic,Yes,35,No,Early Market,Typical,New Vehicle Focus,Tightening,Yes,0
AMK-00024445,2025-04,Midsize Sedan,Current Model Year,PHEV,Paid Search,No,8,US – Rural / Exurban,Steady State,Moderate APR / Cash,Moderate,Balanced,Adverse – Rising APR,Segmented,No,40,No,Mature EV Penetration,Low Exposure,New Vehicle Focus,Benign,No,0
AMK-00024446,2022-09,Compact SUV / Crossover,Current Model Year,ICE,OEM Website / App,Yes,1,Canada,Steady State,Moderate APR / Cash,Moderate,Balanced,Flat,Segmented,No,31,No,Mature EV Penetration,High Fatigue Risk,CPO / Used Consideration,Benign,No,0
AMK-00024447,2022-02,Compact SUV / Crossover,Current Model Year,Hybrid,Paid Social,No,7,US – Major Metro,Steady State,Light Incentives,High – New Entrants,Balanced,Adverse – Rising APR,Generic,Yes,33,No,Growing,Typical,New Vehicle Focus,Tightening,Yes,0
AMK-00024448,2024-01,Compact SUV / Crossover,Current Model Year,ICE,Programmatic Video / CTV,Yes,5,US – Suburban / Secondary,New Launch / Fresh Reveal,Light Incentives,Low,Tight – Under 30,Flat,Segmented,No,23,No,Mature EV Penetration,Typical,Mixed / Undecided,Tightening,No,0
AMK-00024449,2025-10,Midsize Sedan,Current Model Year,ICE,OEM Website / App,No,3,US – Suburban / Secondary,Mid-Cycle Refresh,Moderate APR / Cash,High – New Entrants,Tight – Under 30,Adverse – Rising APR,Segmented,No,43,No,Growing,Low Exposure,New Vehicle Focus,Benign,No,1
AMK-00024450,2025-07,Compact SUV / Crossover,Current Model Year,BEV,Paid Search,Yes,8,US – Major Metro,Steady State,Moderate APR / Cash,Moderate,High – Over 60,Adverse – Rising APR,1:1 Next-Best-Offer,Yes,40,No,Growing,Typical,New Vehicle Focus,Tightening,No,0
AMK-00024451,2023-11,Compact SUV / Crossover,Prior Year Closeout,BEV,OEM Website / App,No,1,US – Suburban / Secondary,Steady State,Moderate APR / Cash,Moderate,Tight – Under 30,Flat,1:1 Next-Best-Offer,No,39,No,Mature EV Penetration,Typical,Mixed / Undecided,Tightening,Yes,1
AMK-00024452,2023-12,EV Crossover,Current Model Year,ICE,Programmatic Video / CTV,No,9,Other Market,Runout / End of Generation,Heavy Stair-Step Risk,Low,Balanced,Flat,1:1 Next-Best-Offer,No,36,Yes,Early Market,High Fatigue Risk,New Vehicle Focus,Benign,Yes,0
AMK-00024453,2023-10,Compact SUV / Crossover,Current Model Year,ICE,Paid Search,Yes,2,US – Suburban / Secondary,Runout / End of Generation,Light Incentives,Moderate,Balanced,Flat,Generic,No,36,Yes,Growing,High Fatigue Risk,CPO / Used Consideration,Tightening,Yes,0
AMK-00024454,2022-01,Midsize Sedan,Current Model Year,ICE,OEM Website / App,Yes,6,US – Major Metro,Runout / End of Generation,Moderate APR / Cash,Low,Tight – Under 30,Flat,1:1 Next-Best-Offer,Yes,32,No,Mature EV Penetration,Low Exposure,New Vehicle Focus,Benign,No,0
AMK-00024455,2024-07,EV Crossover,Current Model Year,ICE,Dealer Co-op – Local Digital,No,6,US – Suburban / Secondary,Runout / End of Generation,Light Incentives,Moderate,Balanced,Adverse – Rising APR,Generic,No,44,No,Growing,Low Exposure,New Vehicle Focus,Constrained,No,0
AMK-00024456,2023-04,Midsize / 3-Row SUV,Current Model Year,Hybrid,OEM Website / App,Yes,5,US – Suburban / Secondary,Steady State,Heavy Stair-Step Risk,Moderate,Balanced,Flat,Segmented,Yes,32,No,Early Market,Typical,CPO / Used Consideration,Benign,No,1
AMK-00024457,2024-07,EV Crossover,Next MY Pre-Order,Hybrid,Email – CRM,No,3,US – Major Metro,Steady State,Moderate APR / Cash,Moderate,High – Over 60,Adverse – Rising APR,1:1 Next-Best-Offer,No,30,No,Growing,Typical,New Vehicle Focus,Benign,No,0
AMK-00024458,2024-07,Midsize Sedan,Prior Year Closeout,ICE,Paid Social,No,8,US – Suburban / Secondary,New Launch / Fresh Reveal,Moderate APR / Cash,High – New Entrants,Balanced,Flat,1:1 Next-Best-Offer,Yes,31,No,Mature EV Penetration,Typical,New Vehicle Focus,Constrained,No,1
AMK-00024459,2022-01,Midsize Sedan,Prior Year Closeout,Hybrid,Dealer Co-op – Local Digital,No,10,US – Suburban / Secondary,New Launch / Fresh Reveal,Light Incentives,Low,Balanced,Adverse – Rising APR,Segmented,Yes,47,Yes,Growing,High Fatigue Risk,New Vehicle Focus,Benign,No,0
AMK-00024460,2025-12,EV Crossover,Current Model Year,ICE,Email – CRM,No,9,Canada,Steady State,Light Incentives,Moderate,Balanced,Flat,Segmented,No,47,No,Growing,Typical,New Vehicle Focus,Constrained,Yes,0
AMK-00024461,2022-10,Compact SUV / Crossover,Current Model Year,BEV,Paid Search,No,3,US – Major Metro,Steady State,Light Incentives,Moderate,Balanced,Favourable vs Prior Quarter,Segmented,No,34,No,Growing,Low Exposure,New Vehicle Focus,Tightening,No,0
AMK-00024462,2022-12,Compact SUV / Crossover,Current Model Year,ICE,Dealer Co-op – Local Digital,No,9,US – Suburban / Secondary,Steady State,Moderate APR / Cash,Moderate,High – Over 60,Adverse – Rising APR,Segmented,Yes,30,No,Early Market,Typical,New Vehicle Focus,Benign,No,1
AMK-00024463,2024-06,Compact SUV / Crossover,Current Model Year,ICE,OEM Website / App,Yes,9,Other Market,Mid-Cycle Refresh,Moderate APR / Cash,Low,Balanced,Adverse – Rising APR,1:1 Next-Best-Offer,No,41,No,Early Market,Low Exposure,New Vehicle Focus,Benign,No,0
AMK-00024464,2024-08,Compact SUV / Crossover,Current Model Year,Hybrid,Dealer Co-op – Local Digital,Yes,2,US – Suburban / Secondary,Mid-Cycle Refresh,Light Incentives,Low,Balanced,Flat,Generic,No,32,No,Growing,Typical,CPO / Used Consideration,Constrained,No,0
AMK-00024465,2022-02,Full-Size Pickup,Current Model Year,ICE,Auto Show / Experiential,No,7,US – Major Metro,Steady State,Light Incentives,High – New Entrants,High – Over 60,Favourable vs Prior Quarter,Generic,No,35,No,Growing,Low Exposure,CPO / Used Consideration,Benign,No,0
AMK-00024466,2025-05,Midsize / 3-Row SUV,Current Model Year,ICE,Email – CRM,No,8,US – Suburban / Secondary,Runout / End of Generation,Light Incentives,Moderate,High – Over 60,Favourable vs Prior Quarter,Generic,No,36,No,Mature EV Penetration,High Fatigue Risk,New Vehicle Focus,Benign,No,0
AMK-00024467,2024-01,Midsize Sedan,Current Model Year,BEV,Dealer Co-op – Local Digital,Yes,3,Canada,Steady State,Moderate APR / Cash,Low,Tight – Under 30,Flat,Segmented,No,44,No,Growing,Low Exposure,Mixed / Undecided,Benign,No,0
AMK-00024468,2025-02,Compact SUV / Crossover,Next MY Pre-Order,Hybrid,OEM Website / App,No,8,US – Major Metro,Steady State,Light Incentives,Moderate,Balanced,Flat,Generic,No,43,No,Growing,Typical,Mixed / Undecided,Benign,No,1
AMK-00024469,2023-11,Compact SUV / Crossover,Current Model Year,BEV,OEM Website / App,No,8,US – Suburban / Secondary,Runout / End of Generation,Heavy Stair-Step Risk,Low,Balanced,Flat,Generic,No,36,No,Mature EV Penetration,Typical,Mixed / Undecided,Benign,No,0
AMK-00024470,2024-12,Midsize / 3-Row SUV,Current Model Year,ICE,Programmatic Video / CTV,Yes,2,US – Major Metro,Steady State,Moderate APR / Cash,Moderate,Tight – Under 30,Favourable vs Prior Quarter,Generic,Yes,50,Yes,Growing,Typical,Mixed / Undecided,Benign,Yes,1
AMK-00024471,2022-12,Midsize Sedan,Current Model Year,BEV,Paid Social,No,2,Other Market,Runout / End of Generation,Moderate APR / Cash,High – New Entrants,High – Over 60,Adverse – Rising APR,Segmented,Yes,47,No,Growing,Typical,Mixed / Undecided,Benign,No,1
